0;4;35
1;5;69
2;3;59
3;8;48
4;9;61
5;0;48
6;0;48
7;8;50
8;6;56
9;3;46
10;0;55
11;0;73
12;5;53
13;4;63
14;0;60
15;3;44
16;0;82
17;0;47
18;8;87
19;0;38
20;4;36
21;4;49
22;0;56
23;0;47
24;8;51
25;0;55
26;0;52
27;9;45
28;0;46
29;0;53
30;0;35
31;8;49
32;0;52
33;0;29
34;0;45
35;0;48
36;0;35
37;0;57
38;0;54
39;0;48
40;8;64
41;0;50
42;0;44
43;8;57
44;0;46
45;0;84
46;0;31
47;0;48
48;9;56
49;0;19
50;0;57
51;0;44
52;0;43
53;3;60
54;0;38
55;0;57
56;0;61
57;0;45
58;0;38
59;0;29
60;0;48
61;0;49
62;0;52
63;8;62
64;0;57
65;0;52
66;0;35
67;0;46
68;0;39
69;11;48
70;3;66
71;3;42
72;0;48
73;0;53
74;0;58
75;0;57
76;8;46
77;0;45
78;0;40
79;0;27
80;0;44
81;0;38
82;0;39
83;0;46
84;0;47
85;8;50
86;0;30
87;0;43
88;0;55
89;8;41
90;0;46
91;0;41
92;0;44
93;0;37
94;8;53
95;0;54
96;0;40
97;0;58
98;0;70
99;8;49
100;0;36
101;0;58
102;0;50
103;0;37
104;8;57
105;0;42
106;0;52
107;0;58
108;0;66
109;9;44
110;0;38
111;0;53
112;0;46
113;8;44
114;0;43
115;0;36
116;0;42
117;8;57
118;0;59
119;0;40
120;0;30
121;0;55
122;0;48
123;0;42
124;0;35
125;0;37
126;9;46
127;0;41
128;0;43
129;0;64
130;0;38
131;8;52
132;0;33
133;0;38
134;6;41
135;2;60
136;0;61
137;0;42
138;0;46
139;0;49
140;8;61
141;0;55
142;0;40
143;0;47
144;9;51
145;0;36
146;0;41
147;0;42
148;0;46
149;8;33
150;0;40
151;0;60
152;0;33
153;8;40
154;0;56
155;0;42
156;0;43
157;9;54
158;0;38
159;0;40
160;3;36
161;1;75
162;2;54
163;1;38
164;1;51
165;2;28
166;1;56
167;2;42
168;2;46
169;2;56
170;1;50
171;1;47
172;2;26
173;1;72
174;2;52
175;1;24
176;2;52
177;1;62
178;1;48
179;2;51
180;2;61
181;2;77
182;2;37
183;2;45
184;2;32
185;1;32
186;1;35
187;2;36
188;1;59
189;1;47
190;1;25
191;2;48
192;2;42
193;1;41
194;2;39
195;1;55
196;3;38
197;2;70
